Date,Close
8/12/2016,46.95
8/15/2016,46.77
8/16/2016,46.24
8/17/2016,46.38
8/18/2016,46.98
8/19/2016,46.27
8/22/2016,46.71
8/23/2016,46.83
8/24/2016,46.21
8/25/2016,46.28
8/26/2016,45.96
8/29/2016,46.73
8/30/2016,46.1
8/31/2016,46.34
9/1/2016,46.25
9/2/2016,47.29
9/6/2016,47.21
9/7/2016,46.73
9/8/2016,46.71
9/9/2016,44.64
9/12/2016,45.93
9/13/2016,45.34
9/14/2016,45.87
9/15/2016,47.18
9/16/2016,46.55
9/19/2016,45.93
9/20/2016,44.5
9/21/2016,45.88
9/22/2016,47.03
9/23/2016,47.29
9/26/2016,46.92
9/27/2016,46.9
9/28/2016,46.81
9/29/2016,46.46
9/30/2016,46.72
10/3/2016,46.88
10/4/2016,46.75
10/5/2016,46.07
10/6/2016,45.5
10/7/2016,45.27
10/10/2016,46.15
10/11/2016,45.61
10/12/2016,46.03
10/13/2016,46.01
10/14/2016,46.23
10/17/2016,46.52
10/18/2016,47.35
10/19/2016,47.32
10/20/2016,47.05
10/21/2016,46.75
10/24/2016,51.19
10/25/2016,49.6
10/26/2016,49.5
10/27/2016,49.5
10/28/2016,49.35
10/31/2016,49.73
11/1/2016,49.29
11/2/2016,49.18
11/3/2016,49.52
11/4/2016,49.35
11/7/2016,50.35
11/8/2016,50.46
11/9/2016,53.01
11/10/2016,52.18
11/11/2016,52.54
11/14/2016,52.92
11/15/2016,53.46
11/16/2016,52.73
11/17/2016,53.39
11/18/2016,53.59
11/21/2016,53.72
11/22/2016,54.24
11/23/2016,54.34
11/25/2016,54.59
11/28/2016,54.98
11/29/2016,55.39
11/30/2016,54.21
12/1/2016,54.26
12/2/2016,54.44
12/5/2016,55.02
12/6/2016,55.99
12/7/2016,58.39
12/8/2016,58.55
12/9/2016,56.74
12/12/2016,56.13
12/13/2016,56.65
12/14/2016,56.55
12/15/2016,57.25
12/16/2016,57.01
12/19/2016,57.8
12/20/2016,58.06
12/21/2016,57.82
12/22/2016,58.08
12/23/2016,58.02
12/27/2016,58.32
12/28/2016,58
12/29/2016,58.05
12/30/2016,57.51
1/3/2017,58.32
1/4/2017,58.82
1/5/2017,57.61
1/6/2017,56.77
1/9/2017,56.67
1/10/2017,58.74
1/11/2017,57.46
1/12/2017,57.15
1/13/2017,57.19
1/17/2017,57.05
1/18/2017,58.66
1/19/2017,60.07
1/20/2017,59.62
1/23/2017,60.24
1/24/2017,60.22
1/25/2017,60.74
1/26/2017,63.37
1/27/2017,62.42
1/30/2017,61.13
1/31/2017,62.27
2/1/2017,63.26
2/2/2017,61.15
2/3/2017,61.36
2/6/2017,60.96
2/7/2017,61.89
2/8/2017,61.89
2/9/2017,62.25
2/10/2017,62.39
2/13/2017,60.9
2/14/2017,61.6
2/15/2017,61.3
2/16/2017,60.61
2/17/2017,63.92
2/21/2017,63.2
2/22/2017,63.08
2/23/2017,62.07
2/24/2017,62.21
2/27/2017,62.17
2/28/2017,62.53
3/1/2017,62.34
3/2/2017,62.54
3/3/2017,63.56
3/6/2017,62.84
3/7/2017,61.63
3/8/2017,61.41
3/9/2017,61.14
3/10/2017,61.48
3/13/2017,61.84
3/14/2017,61.35
3/15/2017,62.99
3/16/2017,62.39
3/17/2017,63.5
3/20/2017,63.11
3/21/2017,62.47
3/22/2017,63.27
3/23/2017,63.12
3/24/2017,64.17
3/27/2017,64.22
3/28/2017,64.23
3/29/2017,64.74
3/30/2017,65.13
3/31/2017,64.59
4/3/2017,63.55
4/4/2017,63.68
4/5/2017,63.5
4/6/2017,63.24
4/7/2017,63.58
4/10/2017,63.89
4/11/2017,63.93
4/12/2017,63.92
4/13/2017,64.04
4/17/2017,64.94
4/18/2017,64.61
4/19/2017,65.13
4/20/2017,64.81
4/21/2017,64.7
4/24/2017,65.93
4/25/2017,67.35
4/26/2017,67.58
4/27/2017,67.74
4/28/2017,67.27
5/1/2017,68.31
5/2/2017,66.94
5/3/2017,65.35
5/4/2017,65.48
5/5/2017,66.49
5/8/2017,66.15
5/9/2017,65.5
5/10/2017,66
5/11/2017,65.81
5/12/2017,65.55
5/15/2017,65.69
5/16/2017,65.91
5/17/2017,63.91
5/18/2017,65.72
5/19/2017,66.37
5/22/2017,67.22
5/23/2017,67.62
5/24/2017,67.89
5/25/2017,67.86
5/26/2017,67.8
5/30/2017,67.08
5/31/2017,67.42
6/1/2017,67.9
6/2/2017,68.32
6/5/2017,67.4
6/6/2017,66.11
6/7/2017,65.92
6/8/2017,65.69
6/9/2017,63.84
6/12/2017,64.67
6/13/2017,64.01
6/14/2017,63.27
6/15/2017,63.6
6/16/2017,63.13
6/19/2017,64.01
6/20/2017,63.98
6/21/2017,63.57
6/22/2017,63.56
6/23/2017,63.4
6/26/2017,63.15
6/27/2017,61.01
6/28/2017,61.48
6/29/2017,60.3
6/30/2017,60.62
7/3/2017,60
7/5/2017,59.95
7/6/2017,59.45
7/7/2017,60.01
7/10/2017,60.8
7/11/2017,61.23
7/12/2017,61.51
7/13/2017,60.91
7/14/2017,61.24
7/17/2017,61.38
7/18/2017,61.39
7/19/2017,61.97
7/20/2017,61.12
7/21/2017,62.58
7/24/2017,62.53
7/25/2017,62.36
7/26/2017,62.39
7/27/2017,61.62
7/28/2017,61.78
7/31/2017,61.66
8/1/2017,63.07
8/2/2017,63.63
8/3/2017,63.73
8/4/2017,64.52
8/7/2017,64.26
8/8/2017,63.9
8/9/2017,63.8
8/10/2017,62.47
8/11/2017,63.61
8/14/2017,63.78
8/15/2017,63.88
8/16/2017,64.28
8/17/2017,62.99
8/18/2017,63
8/21/2017,62.83
8/22/2017,64.38
8/23/2017,64
8/24/2017,63.97
8/25/2017,63.74
8/28/2017,63.72
8/29/2017,63.47
8/30/2017,64.25
8/31/2017,64.71
9/1/2017,64.16
9/5/2017,63.64
9/6/2017,63.79
9/7/2017,63.34
9/8/2017,62.74
9/11/2017,63.03
9/12/2017,62.98
9/13/2017,62.8
9/14/2017,61.17
9/15/2017,61.17
9/18/2017,61.8
9/19/2017,65.42
9/20/2017,63.52
9/21/2017,63.39
9/22/2017,64.06
9/25/2017,62.89
9/26/2017,63.03
9/27/2017,62.39
9/28/2017,61.92
9/29/2017,61.66
10/2/2017,61.52
10/3/2017,61.68
10/4/2017,61.5
10/5/2017,61.52
10/6/2017,62.41
10/9/2017,61.56
10/10/2017,61.23
10/11/2017,61.18
10/12/2017,61.28
10/13/2017,61.39
10/16/2017,60.97
10/17/2017,60.94
10/18/2017,60.68
10/19/2017,61.51
10/20/2017,60.46
10/23/2017,61.47
10/24/2017,62.28
10/25/2017,61.93
10/26/2017,61.73
10/27/2017,62.95
10/30/2017,59.58
10/31/2017,59.77
11/1/2017,59.75
11/2/2017,58.3
11/3/2017,58.91
11/6/2017,55.54
11/7/2017,55.36
11/8/2017,56.22
11/9/2017,56
11/10/2017,56.8
11/13/2017,56.44
11/14/2017,56.54
11/15/2017,56.69
11/16/2017,59.8
11/17/2017,60.02
11/20/2017,60.3
11/21/2017,60.41
11/22/2017,61.35
11/24/2017,61.68
11/27/2017,62.78
11/28/2017,61.38
11/29/2017,61.83
11/30/2017,61.07
12/1/2017,60.9
12/4/2017,60.24
12/5/2017,60.96
12/6/2017,62.12
12/7/2017,61.92
12/8/2017,62.54
12/11/2017,63.07
12/12/2017,63.48
12/13/2017,63.83
12/14/2017,62.56
12/15/2017,62.66
12/18/2017,63.47
12/19/2017,63.64
12/20/2017,62.9
12/21/2017,63.52
12/22/2017,63.62
12/26/2017,63.79
12/27/2017,64.11
12/28/2017,64.35
12/29/2017,63.51
1/2/2018,64.04
1/3/2018,63.61
1/4/2018,63
1/5/2018,64.6
1/8/2018,65.1
1/9/2018,65.6
1/10/2018,63.89
1/11/2018,63.84
1/12/2018,63.68
1/16/2018,62.97
1/17/2018,63.76
1/18/2018,62.88
1/19/2018,63.71
1/22/2018,63.94
1/23/2018,64.53
1/24/2018,65
1/25/2018,64.39
1/26/2018,65.28
1/29/2018,64.6
1/30/2018,64.76
1/31/2018,65.1
2/1/2018,63.79
2/2/2018,63.59
2/5/2018,61.54
2/6/2018,60.85
2/7/2018,62.06
2/8/2018,58.88
2/9/2018,59.2
2/12/2018,58.12
2/13/2018,57.69
2/14/2018,58.62
2/15/2018,60.44
2/16/2018,60.06
2/20/2018,60.51
2/21/2018,59.42
2/22/2018,58.73
2/23/2018,60.06
2/26/2018,61.11
2/27/2018,59.94
2/28/2018,60.61
3/1/2018,61.9
3/2/2018,62.47
3/5/2018,62.95
3/6/2018,63.56
3/7/2018,64.56
3/8/2018,65.06
3/9/2018,65.25
3/12/2018,64.55
3/13/2018,64.98
3/14/2018,64.78
3/15/2018,64.71
3/16/2018,64.76
3/19/2018,63.22
3/20/2018,62.78
3/21/2018,62.59
3/22/2018,61.25
3/23/2018,59.74
3/26/2018,61.39
3/27/2018,60.34
3/28/2018,60.87
3/29/2018,61.04
4/2/2018,59.62
4/3/2018,59.59
4/4/2018,59.75
4/5/2018,59.81
4/6/2018,59.65
4/9/2018,59.74
4/10/2018,63.13
4/11/2018,62.92
4/12/2018,63.02
4/13/2018,61.95
4/16/2018,62.75
4/17/2018,62.75
4/18/2018,62.9
4/19/2018,63.25
4/20/2018,63.09
4/23/2018,62.29
4/24/2018,62.58
4/25/2018,63.93
4/26/2018,64.1
4/27/2018,64.52
4/30/2018,60.51
5/1/2018,59.43
5/2/2018,56.97
5/3/2018,55.92
5/4/2018,57.26
5/7/2018,56.54
5/8/2018,55.58
5/9/2018,56.32
5/10/2018,56.85
5/11/2018,56.39
5/14/2018,56.46
5/15/2018,56.37
5/16/2018,56.53
5/17/2018,56.68
5/18/2018,56.93
5/21/2018,57.19
5/22/2018,57.18
5/23/2018,57.02
5/24/2018,56.98
5/25/2018,56.59
5/29/2018,56.62
5/30/2018,56.33
5/31/2018,55.7
6/1/2018,56.87
6/4/2018,57.12
6/5/2018,57.16
6/6/2018,57.6
6/7/2018,57.82
6/8/2018,57.8
6/11/2018,57.99
6/12/2018,58.09
6/13/2018,58.68
6/14/2018,59.53
6/15/2018,60.01
6/18/2018,60.36
6/19/2018,60.54
6/20/2018,60.34
6/21/2018,60
6/22/2018,60.79
6/25/2018,59.73
6/26/2018,59.7
6/27/2018,59.34
6/28/2018,59.86
6/29/2018,59.75
7/2/2018,59.91
7/3/2018,59.14
7/5/2018,60.06
7/6/2018,61.14
7/9/2018,61.34
7/10/2018,61.18
7/11/2018,60.18
7/12/2018,61.58
7/13/2018,61.68
7/16/2018,61.63
7/17/2018,61.21
7/18/2018,60.52
7/19/2018,59.41
7/20/2018,59.25
7/23/2018,58.36
7/24/2018,58.78
7/25/2018,58.83
7/26/2018,59.37
7/27/2018,59.61
7/30/2018,59.82
7/31/2018,60
8/1/2018,59.36
8/2/2018,62.18
8/3/2018,61.55
8/6/2018,66.3
8/7/2018,65.33
8/8/2018,65.5
8/9/2018,64.97
8/10/2018,64.98
8/13/2018,65.7
8/14/2018,65.96
8/15/2018,65.41
8/16/2018,65.98
8/17/2018,65.9
8/20/2018,65.84
8/21/2018,66.51
8/22/2018,65.81
8/23/2018,65.21
8/24/2018,65.41
8/27/2018,65.8
8/28/2018,65.59
8/29/2018,65.98
8/30/2018,66.01
8/31/2018,66.04
9/4/2018,65.77
9/5/2018,65.71
9/6/2018,65.52
9/7/2018,64.39
9/10/2018,65.56
9/11/2018,65.91
9/12/2018,67.92
9/13/2018,68.48
9/14/2018,68.25
9/17/2018,67.42
9/18/2018,68.49
9/19/2018,68.35
9/20/2018,69.13
9/21/2018,69.07
9/24/2018,68.92
9/25/2018,69.45
9/26/2018,68.79
9/27/2018,70.49
9/28/2018,70.18
10/1/2018,70.25
10/2/2018,69.72
10/3/2018,68.98
10/4/2018,68.95
10/5/2018,68.59
10/8/2018,68.82
10/9/2018,68.46
10/10/2018,66.63
10/11/2018,66.21
10/12/2018,68.38
10/15/2018,67.62
10/16/2018,68.94
10/17/2018,69.08
10/18/2018,68.77
10/19/2018,69.75
10/22/2018,69.51
10/23/2018,69.28
10/24/2018,65.71
10/25/2018,66.32
10/26/2018,65.11
10/29/2018,64.91
10/30/2018,63.92
10/31/2018,68.55
11/1/2018,68.88
11/2/2018,68.51
11/5/2018,68.89
11/6/2018,68.77
11/7/2018,70.34
11/8/2018,69.75
11/9/2018,68.68
11/12/2018,67.89
11/13/2018,68.41
11/14/2018,68.12
11/15/2018,68.08
11/16/2018,69.14
11/19/2018,68
11/20/2018,66.57
11/21/2018,66.78
11/23/2018,67.07
11/26/2018,67.49
11/27/2018,67.49
11/28/2018,68.92
11/29/2018,68.68
11/30/2018,68.45
12/3/2018,67.8
12/4/2018,66.57
12/6/2018,67.3
12/7/2018,65.69
12/10/2018,65.73
12/11/2018,65.53
12/12/2018,66.1
12/13/2018,66.36
12/14/2018,65.65
12/17/2018,64.81
12/18/2018,64.78
12/19/2018,64.87
12/20/2018,64.26
12/21/2018,61.93
12/24/2018,60.8
12/26/2018,63.01
12/27/2018,62.65
12/28/2018,63.24
12/31/2018,63.61
1/2/2019,65.26
1/3/2019,65.02
1/4/2019,67.49
1/7/2019,68.44
1/8/2019,67.77
1/9/2019,67.72
1/10/2019,67.96
1/11/2019,69
1/14/2019,67.91
1/15/2019,67.14
1/16/2019,66.69
1/17/2019,66.25
1/18/2019,66.96
1/22/2019,66.83
1/23/2019,67.8
1/24/2019,68.66
1/25/2019,68.48
1/28/2019,67.62
1/29/2019,67.78
1/30/2019,68.32
1/31/2019,69.62
2/1/2019,69.63
2/4/2019,69.41
2/5/2019,66.85
2/6/2019,66.94
2/7/2019,68.28
2/8/2019,68.38
2/11/2019,68.44
2/12/2019,69.6
2/13/2019,69.07
2/14/2019,70.5
2/15/2019,72.05
2/19/2019,72.52
2/20/2019,72.75
2/21/2019,73.41
2/22/2019,73.2
2/25/2019,73.05
2/26/2019,72.53
2/27/2019,72.12
2/28/2019,72.21
3/1/2019,72.34
3/4/2019,71.65
3/5/2019,71.41
3/6/2019,70.78
3/7/2019,71.32
3/8/2019,70.65
3/11/2019,71.47
3/12/2019,71.7
3/13/2019,72.25
3/14/2019,72.34
3/15/2019,73.46
3/18/2019,73.68
3/19/2019,72.59
3/20/2019,72.06
3/21/2019,72.26
3/22/2019,71.9
3/25/2019,72.31
3/26/2019,73.34
3/27/2019,72.24
3/28/2019,69.15
3/29/2019,69.1
4/1/2019,69.97
4/2/2019,69.73
4/3/2019,69
4/4/2019,70.05
4/5/2019,70.35
4/8/2019,71.23
4/9/2019,71.42
4/10/2019,72.16
4/11/2019,73
4/12/2019,73.71
4/15/2019,73.79
4/16/2019,74.1
4/17/2019,72.46
4/18/2019,73.75
4/22/2019,73.72
4/23/2019,73.75
4/24/2019,73.33
4/25/2019,72.71
4/26/2019,72.92
4/29/2019,73.6
4/30/2019,72.99
5/1/2019,73.58
5/2/2019,73.61
5/3/2019,74.74
5/6/2019,74.46
5/7/2019,74
5/8/2019,72.63
5/9/2019,74.25
5/10/2019,75.23
5/13/2019,73.42
5/14/2019,73.6
5/15/2019,74.63
5/16/2019,75.38
5/17/2019,75.37
5/20/2019,78.29
5/21/2019,77.15
5/22/2019,76.35
5/23/2019,76.01
5/24/2019,77.27
5/28/2019,75.91
5/29/2019,76.13
5/30/2019,76.03
5/31/2019,73.44
6/3/2019,74.2
6/4/2019,75.69
6/5/2019,76.29
6/6/2019,75.95
6/7/2019,77.03
6/10/2019,76.67
6/11/2019,75.46
6/12/2019,75.38
6/13/2019,74.45
6/14/2019,74.9
6/17/2019,75.27
6/18/2019,76.44
6/19/2019,78.28
6/20/2019,77.93
6/21/2019,75.7
6/24/2019,75.54
6/25/2019,74.58
6/26/2019,73.04
6/27/2019,73.29
6/28/2019,74.14
7/1/2019,74.15
7/2/2019,75.48
7/3/2019,75.82
7/5/2019,76.23
7/8/2019,75.63
7/9/2019,75.15
7/10/2019,78.63
7/11/2019,78.26
7/12/2019,79.45
7/15/2019,79.31
7/16/2019,79.04
7/17/2019,78.93
7/18/2019,77.97
7/19/2019,77.43
7/22/2019,77.66
7/23/2019,78.14
7/24/2019,80.61
7/25/2019,79.91
7/26/2019,84.25
7/29/2019,82.38
7/30/2019,81.3
7/31/2019,79.73
8/1/2019,79.31
8/2/2019,77.73
8/5/2019,76.19
8/6/2019,77.28
8/7/2019,76.48
8/8/2019,77.9
8/9/2019,77.52
8/12/2019,76.94
8/13/2019,77.62
8/14/2019,76.93
8/15/2019,77.27
8/16/2019,77.75
8/19/2019,78.23
8/20/2019,77.68
8/21/2019,78.18
8/22/2019,77.79
8/23/2019,76.48
8/26/2019,78.06
8/27/2019,77.12
8/28/2019,77.06
8/29/2019,78.01
8/30/2019,78.05
9/3/2019,77.13
9/4/2019,77.61
9/5/2019,77.83
9/6/2019,79.15
9/9/2019,79.13
9/10/2019,78.38
9/11/2019,79.74
9/12/2019,79.69
9/13/2019,79.4
9/16/2019,79.56
9/17/2019,80.21
9/18/2019,80.12
9/19/2019,81
9/20/2019,80.59
9/23/2019,79.96
9/24/2019,79.36
9/25/2019,79.81
9/26/2019,79
9/27/2019,77.56
9/30/2019,78.77
10/1/2019,78.2
10/2/2019,76.41
10/3/2019,77.03
10/4/2019,77.99
10/7/2019,78.48
10/8/2019,77.61
10/9/2019,77.79
10/10/2019,78.3
10/11/2019,79.53
10/14/2019,78.63
10/15/2019,79.74
10/16/2019,80.01
10/17/2019,81.05
10/18/2019,81.6
10/21/2019,82.09
10/22/2019,81.67
10/23/2019,81.36
10/24/2019,81.48
10/25/2019,81.62
10/28/2019,82.39
10/29/2019,81.77
10/30/2019,83.27
10/31/2019,82.66
11/1/2019,82.47
11/4/2019,80.92
11/5/2019,81.47
11/6/2019,81.86
11/7/2019,81.86
11/8/2019,80.94
11/11/2019,79.62
11/12/2019,77.43
11/13/2019,77.97
11/14/2019,76.84
11/15/2019,78.07
11/18/2019,78.19
11/19/2019,77.16
11/20/2019,77.64
11/21/2019,77.7
11/22/2019,78.59
11/25/2019,78
11/26/2019,78.45
11/27/2019,78.98
11/29/2019,78.55
12/2/2019,77.64
12/3/2019,78.01
12/4/2019,78.34
12/5/2019,76.94
12/6/2019,77.74
12/9/2019,75.87
12/10/2019,75.02
12/11/2019,74.62
12/12/2019,74.89
12/13/2019,75.47
12/16/2019,75.47
12/17/2019,75.49
12/18/2019,76.31
12/19/2019,77.22
12/20/2019,77.4
12/23/2019,76.96
12/24/2019,77.32
12/26/2019,77.4
12/27/2019,77.24
12/30/2019,78.08
12/31/2019,78.42
1/2/2020,78.59
1/3/2020,78.17
1/6/2020,78.62
1/7/2020,78.92
1/8/2020,79.42
1/9/2020,79.81
1/10/2020,79
1/13/2020,79.4
1/14/2020,79.8
1/15/2020,80.27
1/16/2020,81.44
1/17/2020,82.15
1/21/2020,82.03
1/22/2020,82.48
1/23/2020,82.18
1/24/2020,81.58
1/27/2020,80.72
1/28/2020,81.66
1/29/2020,80.26
1/30/2020,80.94
1/31/2020,79.19
2/3/2020,79.46
2/4/2020,81.51
2/5/2020,81.79
2/6/2020,82.77
2/7/2020,85.44
2/10/2020,84.53
2/11/2020,94.49
2/12/2020,95.67
2/13/2020,95.14
2/14/2020,96.48
2/18/2020,99.88
2/19/2020,100.49
2/20/2020,99.5
2/21/2020,98.57
2/24/2020,96.37
2/25/2020,94.58
2/26/2020,93.65
2/27/2020,91.24
2/28/2020,90.16
3/2/2020,93.29
3/3/2020,89.37
3/4/2020,93.81
3/5/2020,89.86
3/6/2020,87.86
3/9/2020,79.75
3/10/2020,84.98
3/11/2020,86.45
3/12/2020,76.76
3/13/2020,85.39
3/16/2020,76.53
3/17/2020,78.35
3/18/2020,74.32
3/19/2020,79.45
3/20/2020,74.55
3/23/2020,75.7
3/24/2020,78.65
3/25/2020,79.17
3/26/2020,84.63
3/27/2020,81.72
3/30/2020,83.12
3/31/2020,83.9
4/1/2020,85.13
4/2/2020,84.41
4/3/2020,81.98
4/6/2020,86.09
4/7/2020,86.51
4/8/2020,86.85
4/9/2020,85.9
4/13/2020,86.17
4/14/2020,89.62
4/15/2020,88.54
4/16/2020,90.27
4/17/2020,90.99
4/20/2020,89.94
4/21/2020,87.22
4/22/2020,90.16
4/23/2020,90.34
4/24/2020,90.8
4/27/2020,90.91
4/28/2020,87.94
4/29/2020,89.31
4/30/2020,87.8
5/1/2020,86.2
5/4/2020,88.96
5/5/2020,88.97
5/6/2020,86.59
5/7/2020,95.29
5/8/2020,98.52
5/11/2020,96.72
5/12/2020,94.61
5/13/2020,92.78
5/14/2020,94.91
